n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8
0.0,105.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,19371.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,106.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,19571.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,107.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,19661.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,107.0,19.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,19661.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,108.0,19.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,19861.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,109.0,19.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,20061.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,110.0,19.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,20312.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,111.0,19.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,20512.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,112.0,19.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,20912.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,112.0,20.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,20912.0,5549.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,113.0,20.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,21290.0,5549.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,114.0,20.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,21755.0,5549.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
