n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,n_type_13,n_type_14,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11,mw_type_12,mw_type_13
0.0,74.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33510.0,315.0,95.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,72.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32226.800000000003,315.0,95.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31597.800000000003,315.0,95.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,72.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31647.800000000003,315.0,95.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30336.800000000003,315.0,95.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30336.800000000003,315.0,95.0,53.0,10.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30336.800000000003,315.0,95.0,53.0,10.0,15.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30336.800000000003,315.0,95.0,53.0,10.0,105.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,72.0,1.0,3.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31086.800000000003,315.0,95.0,53.0,10.0,105.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,73.0,1.0,3.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31691.800000000003,315.0,95.0,53.0,10.0,105.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,74.0,1.0,3.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32291.800000000003,315.0,95.0,53.0,10.0,105.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,74.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32291.800000000003,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
0.0,75.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32791.8,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
0.0,76.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33291.8,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
0.0,77.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33381.8,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
0.0,78.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33471.8,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
0.0,79.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33571.8,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
0.0,80.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33671.8,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
0.0,81.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33761.8,315.0,95.0,53.0,10.0,105.0,160.0,525.0,0.0,0.0,0.0,0.0,0.0
